file,period_start,period_end,total_power,l2_power,l3_power
power-periodicins-32000005-periodicins-33000004-999999.txt,periodicins-32000005,periodicins-33000004,30.3653,0.0,0.0
power-periodicins-55000004-periodicins-56000003-999999.txt,periodicins-55000004,periodicins-56000003,30.3651,0.0,0.0
power-periodicins-130000026-periodicins-131000038-1000012.txt,periodicins-130000026,periodicins-131000038,20.1365,0.0,0.0
power-periodicins-34000002-periodicins-35000026-1000024.txt,periodicins-34000002,periodicins-35000026,19.9196,0.0,0.0
power-periodicins-125000020-periodicins-126000041-1000021.txt,periodicins-125000020,periodicins-126000041,20.0515,0.0,0.0
power-periodicins-25000003-periodicins-26000005-1000002.txt,periodicins-25000003,periodicins-26000005,30.3652,0.0,0.0
power-periodicins-88000004-periodicins-89000006-1000002.txt,periodicins-88000004,periodicins-89000006,30.3887,0.0,0.0
power-periodicins-96000021-periodicins-97000006-999985.txt,periodicins-96000021,periodicins-97000006,20.3095,0.0,0.0
power-periodicins-114000004-periodicins-115000003-999999.txt,periodicins-114000004,periodicins-115000003,30.3652,0.0,0.0
power-periodicins-67000013-periodicins-68000017-1000004.txt,periodicins-67000013,periodicins-68000017,20.3338,0.0,0.0
power-periodicins-137000036-periodicins-138000019-999983.txt,periodicins-137000036,periodicins-138000019,20.3564,0.0,0.0
power-periodicins-7000006-periodicins-8000002-999996.txt,periodicins-7000006,periodicins-8000002,30.3648,0.0,0.0
power-periodicins-49000004-periodicins-50000003-999999.txt,periodicins-49000004,periodicins-50000003,30.3647,0.0,0.0
power-periodicins-85000004-periodicins-86000006-1000002.txt,periodicins-85000004,periodicins-86000006,30.3885,0.0,0.0
power-periodicins-129000039-periodicins-130000026-999987.txt,periodicins-129000039,periodicins-130000026,20.4385,0.0,0.0
power-periodicins-84000002-periodicins-85000004-1000002.txt,periodicins-84000002,periodicins-85000004,30.3653,0.0,0.0
power-periodicins-135000025-periodicins-136000020-999995.txt,periodicins-135000025,periodicins-136000020,20.6071,0.0,0.0
power-periodicins-136000020-periodicins-137000036-1000016.txt,periodicins-136000020,periodicins-137000036,20.6669,0.0,0.0
power-periodicins-110000005-periodicins-111000004-999999.txt,periodicins-110000005,periodicins-111000004,30.3649,0.0,0.0
power-periodicins-100000005-periodicins-101000009-1000004.txt,periodicins-100000005,periodicins-101000009,19.9831,0.0,0.0
power-periodicins-10000006-periodicins-11000002-999996.txt,periodicins-10000006,periodicins-11000002,30.3886,0.0,0.0
power-periodicins-3000004-periodicins-4000006-1000002.txt,periodicins-3000004,periodicins-4000006,30.3886,0.0,0.0
power-periodicins-9000004-periodicins-10000006-1000002.txt,periodicins-9000004,periodicins-10000006,30.3652,0.0,0.0
power-periodicins-78000004-periodicins-79000004-1000000.txt,periodicins-78000004,periodicins-79000004,22.5903,0.0,0.0
power-periodicins-31000003-periodicins-32000005-1000002.txt,periodicins-31000003,periodicins-32000005,30.3892,0.0,0.0
power-periodicins-75000032-periodicins-76000005-999973.txt,periodicins-75000032,periodicins-76000005,20.6703,0.0,0.0
power-periodicins-93000002-periodicins-94000004-1000002.txt,periodicins-93000002,periodicins-94000004,29.9742,0.0,0.0
power-periodicins-122000005-periodicins-123000004-999999.txt,periodicins-122000005,periodicins-123000004,30.3885,0.0,0.0
power-periodicins-62000003-periodicins-63000005-1000002.txt,periodicins-62000003,periodicins-63000005,30.3652,0.0,0.0
power-periodicins-24000004-periodicins-25000003-999999.txt,periodicins-24000004,periodicins-25000003,30.3885,0.0,0.0
power-periodicins-42000030-periodicins-43000035-1000005.txt,periodicins-42000030,periodicins-43000035,20.2857,0.0,0.0
power-periodicins-73000018-periodicins-74000019-1000001.txt,periodicins-73000018,periodicins-74000019,20.3073,0.0,0.0
power-periodicins-54000005-periodicins-55000004-999999.txt,periodicins-54000005,periodicins-55000004,30.3886,0.0,0.0
power-periodicins-19000003-periodicins-20000005-1000002.txt,periodicins-19000003,periodicins-20000005,30.3886,0.0,0.0
power-periodicins-5000002-periodicins-6000004-1000002.txt,periodicins-5000002,periodicins-6000004,30.3636,0.0,0.0
power-periodicins-90000002-periodicins-91000004-1000002.txt,periodicins-90000002,periodicins-91000004,30.3886,0.0,0.0
power-periodicins-37000032-periodicins-38000002-999970.txt,periodicins-37000032,periodicins-38000002,20.2578,0.0,0.0
power-periodicins-91000004-periodicins-92000006-1000002.txt,periodicins-91000004,periodicins-92000006,30.3653,0.0,0.0
power-periodicins-28000003-periodicins-29000005-1000002.txt,periodicins-28000003,periodicins-29000005,30.3645,0.0,0.0
power-periodicins-101000009-periodicins-102000025-1000016.txt,periodicins-101000009,periodicins-102000025,20.114,0.0,0.0
power-periodicins-95000008-periodicins-96000021-1000013.txt,periodicins-95000008,periodicins-96000021,20.0775,0.0,0.0
power-periodicins-29000005-periodicins-30000004-999999.txt,periodicins-29000005,periodicins-30000004,30.3892,0.0,0.0
power-periodicins-82000004-periodicins-83000006-1000002.txt,periodicins-82000004,periodicins-83000006,30.3652,0.0,0.0
power-periodicins-63000005-periodicins-64000004-999999.txt,periodicins-63000005,periodicins-64000004,30.3885,0.0,0.0
power-periodicins-131000038-periodicins-132000017-999979.txt,periodicins-131000038,periodicins-132000017,20.0697,0.0,0.0
power-periodicins-56000003-periodicins-57000005-1000002.txt,periodicins-56000003,periodicins-57000005,30.3886,0.0,0.0
power-periodicins-26000005-periodicins-27000004-999999.txt,periodicins-26000005,periodicins-27000004,30.3885,0.0,0.0
power-periodicins-53000003-periodicins-54000005-1000002.txt,periodicins-53000003,periodicins-54000005,30.3652,0.0,0.0
power-periodicins-66000011-periodicins-67000013-1000002.txt,periodicins-66000011,periodicins-67000013,20.2873,0.0,0.0
power-periodicins-83000006-periodicins-84000002-999996.txt,periodicins-83000006,periodicins-84000002,30.3884,0.0,0.0
power-periodicins-69000009-periodicins-70000038-1000029.txt,periodicins-69000009,periodicins-70000038,20.166,0.0,0.0
power-periodicins-27000004-periodicins-28000003-999999.txt,periodicins-27000004,periodicins-28000003,30.3652,0.0,0.0
power-periodicins-14000002-periodicins-15000004-1000002.txt,periodicins-14000002,periodicins-15000004,30.3645,0.0,0.0
power-periodicins-81000002-periodicins-82000004-1000002.txt,periodicins-81000002,periodicins-82000004,30.3887,0.0,0.0
power-periodicins-103000032-periodicins-104000056-1000024.txt,periodicins-103000032,periodicins-104000056,20.2933,0.0,0.0
power-periodicins-43000035-periodicins-44000026-999991.txt,periodicins-43000035,periodicins-44000026,20.576,0.0,0.0
power-periodicins-102000025-periodicins-103000032-1000007.txt,periodicins-102000025,periodicins-103000032,20.1631,0.0,0.0
power-periodicins-22000003-periodicins-23000005-1000002.txt,periodicins-22000003,periodicins-23000005,30.3894,0.0,0.0
power-periodicins-59000003-periodicins-60000005-1000002.txt,periodicins-59000003,periodicins-60000005,30.3889,0.0,0.0
power-periodicins-127000019-periodicins-128000034-1000015.txt,periodicins-127000019,periodicins-128000034,20.4391,0.0,0.0
power-periodicins-123000004-periodicins-124000003-999999.txt,periodicins-123000004,periodicins-124000003,30.3652,0.0,0.0
power-periodicins-16000006-periodicins-17000002-999996.txt,periodicins-16000006,periodicins-17000002,30.365,0.0,0.0
power-periodicins-68000017-periodicins-69000009-999992.txt,periodicins-68000017,periodicins-69000009,20.2675,0.0,0.0
power-periodicins-124000003-periodicins-125000020-1000017.txt,periodicins-124000003,periodicins-125000020,23.6829,0.0,0.0
power-periodicins-89000006-periodicins-90000002-999996.txt,periodicins-89000006,periodicins-90000002,30.3652,0.0,0.0
power-periodicins-105000020-periodicins-106000033-1000013.txt,periodicins-105000020,periodicins-106000033,20.5561,0.0,0.0
power-periodicins-120000004-periodicins-121000003-999999.txt,periodicins-120000004,periodicins-121000003,30.3888,0.0,0.0
power-periodicins-126000041-periodicins-127000019-999978.txt,periodicins-126000041,periodicins-127000019,20.3199,0.0,0.0
power-periodicins-23000005-periodicins-24000004-999999.txt,periodicins-23000005,periodicins-24000004,30.3652,0.0,0.0
power-periodicins-65000029-periodicins-66000011-999982.txt,periodicins-65000029,periodicins-66000011,20.2124,0.0,0.0
power-periodicins-48000002-periodicins-49000004-1000002.txt,periodicins-48000002,periodicins-49000004,25.8334,0.0,0.0
power-periodicins-6000004-periodicins-7000006-1000002.txt,periodicins-6000004,periodicins-7000006,30.3902,0.0,0.0
power-periodicins-71000013-periodicins-72000002-999989.txt,periodicins-71000013,periodicins-72000002,20.0776,0.0,0.0
power-periodicins-64000004-periodicins-65000029-1000025.txt,periodicins-64000004,periodicins-65000029,20.8381,0.0,0.0
power-periodicins-121000003-periodicins-122000005-1000002.txt,periodicins-121000003,periodicins-122000005,30.3653,0.0,0.0
power-periodicins-15000004-periodicins-16000006-1000002.txt,periodicins-15000004,periodicins-16000006,30.3893,0.0,0.0
power-periodicins-70000038-periodicins-71000013-999975.txt,periodicins-70000038,periodicins-71000013,20.0624,0.0,0.0
power-periodicins-133000010-periodicins-134000022-1000012.txt,periodicins-133000010,periodicins-134000022,20.1436,0.0,0.0
power-periodicins-20000005-periodicins-21000004-999999.txt,periodicins-20000005,periodicins-21000004,30.3652,0.0,0.0
power-periodicins-11000002-periodicins-12000004-1000002.txt,periodicins-11000002,periodicins-12000004,30.3653,0.0,0.0
power-periodicins-60000005-periodicins-61000004-999999.txt,periodicins-60000005,periodicins-61000004,30.3649,0.0,0.0
power-periodicins-92000006-periodicins-93000002-999996.txt,periodicins-92000006,periodicins-93000002,30.3884,0.0,0.0
power-periodicins-39000006-periodicins-40000019-1000013.txt,periodicins-39000006,periodicins-40000019,20.2198,0.0,0.0
power-periodicins-106000033-periodicins-107000020-999987.txt,periodicins-106000033,periodicins-107000020,20.4372,0.0,0.0
power-periodicins-50000003-periodicins-51000005-1000002.txt,periodicins-50000003,periodicins-51000005,30.389,0.0,0.0
power-periodicins-86000006-periodicins-87000002-999996.txt,periodicins-86000006,periodicins-87000002,30.3652,0.0,0.0
power-periodicins-36000018-periodicins-37000032-1000014.txt,periodicins-36000018,periodicins-37000032,20.2764,0.0,0.0
power-periodicins-41000038-periodicins-42000030-999992.txt,periodicins-41000038,periodicins-42000030,20.2072,0.0,0.0
power-periodicins-128000034-periodicins-129000039-1000005.txt,periodicins-128000034,periodicins-129000039,20.3477,0.0,0.0
power-periodicins-47000019-periodicins-48000002-999983.txt,periodicins-47000019,periodicins-48000002,13.283,0.0,0.0
power-roi-begin-periodicins-1000058-1000058.txt,,,5.88717,0.0,0.0
power-periodicins-57000005-periodicins-58000004-999999.txt,periodicins-57000005,periodicins-58000004,30.3652,0.0,0.0
power-periodicins-98000040-periodicins-99000034-999994.txt,periodicins-98000040,periodicins-99000034,20.2084,0.0,0.0
power-periodicins-8000002-periodicins-9000004-1000002.txt,periodicins-8000002,periodicins-9000004,30.3889,0.0,0.0
power-periodicins-1000058-periodicins-2000003-999945.txt,periodicins-1000058,periodicins-2000003,9.6599,0.0,0.0
power-periodicins-51000005-periodicins-52000004-999999.txt,periodicins-51000005,periodicins-52000004,30.3653,0.0,0.0
power-periodicins-79000004-periodicins-80000006-1000002.txt,periodicins-79000004,periodicins-80000006,30.3652,0.0,0.0
power-periodicins-116000005-periodicins-117000004-999999.txt,periodicins-116000005,periodicins-117000004,30.3652,0.0,0.0
power-periodicins-108000010-periodicins-109000003-999993.txt,periodicins-108000010,periodicins-109000003,16.5359,0.0,0.0
power-periodicins-115000003-periodicins-116000005-1000002.txt,periodicins-115000003,periodicins-116000005,30.3885,0.0,0.0
power-periodicins-94000004-periodicins-95000008-1000004.txt,periodicins-94000004,periodicins-95000008,22.0329,0.0,0.0
power-periodicins-119000005-periodicins-120000004-999999.txt,periodicins-119000005,periodicins-120000004,30.3649,0.0,0.0
power-periodicins-46000023-periodicins-47000019-999996.txt,periodicins-46000023,periodicins-47000019,20.3254,0.0,0.0
power-periodicins-38000002-periodicins-39000006-1000004.txt,periodicins-38000002,periodicins-39000006,20.3747,0.0,0.0
power-periodicins-12000004-periodicins-13000006-1000002.txt,periodicins-12000004,periodicins-13000006,30.3885,0.0,0.0
power-periodicins-76000005-periodicins-77000027-1000022.txt,periodicins-76000005,periodicins-77000027,20.4065,0.0,0.0
power-periodicins-45000037-periodicins-46000023-999986.txt,periodicins-45000037,periodicins-46000023,20.4025,0.0,0.0
power-periodicins-111000004-periodicins-112000003-999999.txt,periodicins-111000004,periodicins-112000003,30.3889,0.0,0.0
power-periodicins-52000004-periodicins-53000003-999999.txt,periodicins-52000004,periodicins-53000003,30.3884,0.0,0.0
power-periodicins-35000026-periodicins-36000018-999992.txt,periodicins-35000026,periodicins-36000018,20.3589,0.0,0.0
power-periodicins-80000006-periodicins-81000002-999996.txt,periodicins-80000006,periodicins-81000002,30.365,0.0,0.0
power-periodicins-61000004-periodicins-62000003-999999.txt,periodicins-61000004,periodicins-62000003,30.3888,0.0,0.0
power-periodicins-87000002-periodicins-88000004-1000002.txt,periodicins-87000002,periodicins-88000004,30.365,0.0,0.0
power-periodicins-40000019-periodicins-41000038-1000019.txt,periodicins-40000019,periodicins-41000038,20.2359,0.0,0.0
power-periodicins-134000022-periodicins-135000025-1000003.txt,periodicins-134000022,periodicins-135000025,20.4771,0.0,0.0
power-periodicins-13000006-periodicins-14000002-999996.txt,periodicins-13000006,periodicins-14000002,30.3651,0.0,0.0
power-periodicins-104000056-periodicins-105000020-999964.txt,periodicins-104000056,periodicins-105000020,20.3542,0.0,0.0
power-periodicins-18000003-periodicins-19000003-1000000.txt,periodicins-18000003,periodicins-19000003,29.5306,0.0,0.0
power-periodicins-77000027-periodicins-78000004-999977.txt,periodicins-77000027,periodicins-78000004,18.0216,0.0,0.0
power-periodicins-44000026-periodicins-45000037-1000011.txt,periodicins-44000026,periodicins-45000037,20.4427,0.0,0.0
power-periodicins-117000004-periodicins-118000003-999999.txt,periodicins-117000004,periodicins-118000003,30.3885,0.0,0.0
power-periodicins-113000005-periodicins-114000004-999999.txt,periodicins-113000005,periodicins-114000004,30.3885,0.0,0.0
power-periodicins-30000004-periodicins-31000003-999999.txt,periodicins-30000004,periodicins-31000003,30.3646,0.0,0.0
power-periodicins-112000003-periodicins-113000005-1000002.txt,periodicins-112000003,periodicins-113000005,30.3652,0.0,0.0
power-periodicins-74000019-periodicins-75000032-1000013.txt,periodicins-74000019,periodicins-75000032,20.4126,0.0,0.0
power-periodicins-97000006-periodicins-98000040-1000034.txt,periodicins-97000006,periodicins-98000040,20.4052,0.0,0.0
power-periodicins-109000003-periodicins-110000005-1000002.txt,periodicins-109000003,periodicins-110000005,30.3652,0.0,0.0
power-periodicins-72000002-periodicins-73000018-1000016.txt,periodicins-72000002,periodicins-73000018,20.1131,0.0,0.0
power-periodicins-17000002-periodicins-18000003-1000001.txt,periodicins-17000002,periodicins-18000003,30.0501,0.0,0.0
power-periodicins-33000004-periodicins-34000002-999998.txt,periodicins-33000004,periodicins-34000002,27.1417,0.0,0.0
power-periodicins-21000004-periodicins-22000003-999999.txt,periodicins-21000004,periodicins-22000003,30.3643,0.0,0.0
power-periodicins-118000003-periodicins-119000005-1000002.txt,periodicins-118000003,periodicins-119000005,30.3653,0.0,0.0
power-periodicins-99000034-periodicins-100000005-999971.txt,periodicins-99000034,periodicins-100000005,20.2525,0.0,0.0
power-periodicins-58000004-periodicins-59000003-999999.txt,periodicins-58000004,periodicins-59000003,30.3648,0.0,0.0
power-periodicins-107000020-periodicins-108000010-999990.txt,periodicins-107000020,periodicins-108000010,20.0646,0.0,0.0
power-periodicins-138000019-roi-end--67995662.txt,,,17.1592,0.0,0.0
power-periodicins-132000017-periodicins-133000010-999993.txt,periodicins-132000017,periodicins-133000010,20.1443,0.0,0.0
power-periodicins-2000003-periodicins-3000004-1000001.txt,periodicins-2000003,periodicins-3000004,22.7797,0.0,0.0
power-periodicins-4000006-periodicins-5000002-999996.txt,periodicins-4000006,periodicins-5000002,30.3651,0.0,0.0
